waktu,stasiun,AOD
2023-01-08 11:00:00,Jagakarsa,
2023-01-08 11:00:00,Jatinegara,
2023-01-08 11:00:00,Kelapa Gading Indah,
2023-01-08 12:00:00,Slipi,
2023-01-08 12:00:00,Menteng,
2023-01-08 12:00:00,Jagakarsa,
2023-01-08 12:00:00,Jatinegara,
2023-01-08 12:00:00,Kelapa Gading Indah,
2023-01-08 13:00:00,Slipi,
2023-01-08 13:00:00,Menteng,
2023-01-08 13:00:00,Jagakarsa,
2023-01-08 13:00:00,Jatinegara,
2023-01-08 13:00:00,Kelapa Gading Indah,
2023-01-08 14:00:00,Slipi,
2023-01-08 14:00:00,Menteng,
2023-01-08 14:00:00,Jagakarsa,
2023-01-08 14:00:00,Jatinegara,
2023-01-08 14:00:00,Kelapa Gading Indah,
2023-01-08 15:00:00,Slipi,
2023-01-08 15:00:00,Menteng,
2023-01-08 15:00:00,Jagakarsa,
2023-01-08 15:00:00,Jatinegara,
2023-01-08 15:00:00,Kelapa Gading Indah,
2023-01-08 16:00:00,Slipi,
2023-01-08 16:00:00,Menteng,
2023-01-08 16:00:00,Jagakarsa,
2023-01-08 16:00:00,Jatinegara,
2023-01-08 16:00:00,Kelapa Gading Indah,
2023-01-09 07:00:00,Slipi,
2023-01-09 07:00:00,Menteng,
2023-01-09 07:00:00,Jagakarsa,
2023-01-09 07:00:00,Jatinegara,
2023-01-09 07:00:00,Kelapa Gading Indah,
2023-01-09 08:00:00,Slipi,
2023-01-09 08:00:00,Menteng,
2023-01-09 08:00:00,Jagakarsa,
2023-01-09 08:00:00,Jatinegara,
2023-01-09 08:00:00,Kelapa Gading Indah,
2023-01-09 09:00:00,Slipi,
2023-01-09 09:00:00,Menteng,
2023-01-09 09:00:00,Jagakarsa,
2023-01-09 09:00:00,Jatinegara,
2023-01-09 09:00:00,Kelapa Gading Indah,
2023-01-09 10:00:00,Slipi,
2023-01-09 10:00:00,Menteng,0.3716000020503998
2023-01-09 10:00:00,Jagakarsa,0.1439999938011169
2023-01-09 10:00:00,Jatinegara,0.4831999838352203
2023-01-09 10:00:00,Kelapa Gading Indah,
2023-01-09 11:00:00,Slipi,
2023-01-09 11:00:00,Menteng,
2023-01-09 11:00:00,Jagakarsa,
